,rssi_1_1,rssi_1_2,rssi_1_3,rssi_2_1,rssi_2_2,rssi_2_3,rssi_3_1,rssi_3_2,rssi_3_3,delay_1,delay_2,delay_3,lat,lon,indoor,bts_1_dist,bts_2_dist,bts_3_dist
951,-115.0,-115.0,-115.0,-115.0,-115.0,-115.0,-90.8271428571428,-90.2616666666667,-115.0,5.0,3.0,2.0,-8.055605,-34.951728,True,0.012188035485672457,0.0075603148744005436,0.006178576616017035
952,-101.196666666667,-115.0,-96.04,-115.0,-96.79,-96.1,-94.42,-92.09,-115.0,5.0,3.0,2.0,-8.055506,-34.951693,True,0.012089898469383464,0.007492522739373084,0.006209786228208023
955,-109.088333333333,-107.2,-107.148571428571,-111.5,-105.567142857143,-104.704285714286,-104.23,-104.29,-115.0,5.0,3.0,2.0,-8.05538,-34.951736,True,0.011962913357539847,0.0074900064085416974,0.00616429201125858
959,-85.3714285714286,-95.70142857142858,-96.04,-99.26,-98.405,-91.90035714285708,-97.91,-99.194,-86.79,5.0,7.0,2.0,-8.05136,-34.95981,False,0.011137311165627441,0.015215122214428852,0.004396555469907786
960,-84.69428571428571,-94.4,-83.9871428571429,-98.7733333333333,-97.725,-96.66,-85.4,-102.688,-91.58,4.0,7.0,2.0,-8.04993,-34.95952,False,0.009946381251490357,0.015140168559167963,0.005628187985487684
961,-115.0,-115.0,-115.0,-115.0,-115.0,-115.0,-95.7228571428571,-93.86,-115.0,5.0,3.0,2.0,-8.055605,-34.951728,True,0.012188035485672457,0.0075603148744005436,0.006178576616017035
962,-92.4226190476191,-90.24214285714292,-93.0646428571429,-75.96,-91.41,-84.46,-85.19,-93.248,-97.255,5.0,1.0,4.0,-8.05391,-34.94827,False,0.011133418163349318,0.0037397866249330378,0.009732676918506333
966,-106.07,-115.0,-106.67,-104.161666666667,-96.93857142857142,-93.39,-96.67,-94.99,-115.0,5.0,3.0,2.0,-8.055424,-34.951597,True,0.012010762881683379,0.007374061364000055,0.0063038579457371175
968,-83.9357142857143,-95.00714285714292,-84.6371428571428,-99.26,-96.0175,-90.2742857142857,-90.1316666666667,-98.266,-78.38,4.0,6.0,1.0,-8.05124,-34.9589,False,0.01042892132485583,0.014323354495371485,0.0042007618356669565
969,-109.088333333333,-107.2,-107.148571428571,-107.9375,-105.087142857143,-104.255714285714,-104.425,-105.125,-115.0,5.0,3.0,2.0,-8.05538,-34.951736,True,0.011962913357539847,0.0074900064085416974,0.00616429201125858
971,-94.7157142857143,-97.9,-96.98,-78.0,-94.3425,-93.64,-97.8733333333333,-98.578,-98.9125,4.0,1.0,5.0,-8.051169999999999,-34.94775,False,0.008838834764831091,0.00352597277357827,0.010965628116987595
972,-109.088333333333,-107.2,-107.01,-108.43,-103.691428571429,-101.435714285714,-103.065,-102.11,-115.0,5.0,3.0,2.0,-8.05538,-34.951736,True,0.011962913357539847,0.0074900064085416974,0.00616429201125858
973,-86.0117142857143,-95.68428571428568,-82.76,-99.26,-98.2575,-93.5317857142857,-88.34,-99.194,-95.09,5.0,7.0,1.0,-8.05175,-34.95983,False,0.011432313851534589,0.015200808004839266,0.004058300136753991
974,-103.705,-107.17,-107.381666666667,-110.33,-107.18,-106.59,-103.103333333333,-102.12,-115.0,5.0,3.0,2.0,-8.055786,-34.951505,True,0.012375903239764088,0.00742136813532404,0.006411956097795822
975,-106.07,-115.0,-106.67,-104.161666666667,-98.5457142857143,-95.5,-99.57142857142858,-95.9516666666667,-115.0,5.0,3.0,2.0,-8.055424,-34.951597,True,0.012010762881683379,0.007374061364000055,0.0063038579457371175
980,-92.2042857142857,-92.5771428571428,-91.59,-86.47,-94.265,-90.28714285714292,-94.785,-94.73,-95.9225,3.0,2.0,3.0,-8.05146,-34.95046,False,0.00818615905049579,0.00596203354569792,0.008381718200943909
981,-99.17,-92.71,-97.20142857142858,-92.02,-94.525,-92.7814285714286,-87.18,-96.632,-98.7325,3.0,3.0,4.0,-8.04994,-34.95047,False,0.006697111317574681,0.00650532889253633,0.009173292756693058
982,-115.0,-115.0,-115.0,-115.0,-115.0,-115.0,-90.74625,-93.1633333333333,-115.0,5.0,3.0,2.0,-8.055605,-34.951728,True,0.012188035485672457,0.0075603148744005436,0.006178576616017035
983,-115.0,-115.0,-115.0,-115.0,-115.0,-115.0,-91.3642857142857,-90.2616666666667,-115.0,5.0,3.0,2.0,-8.055605,-34.951728,True,0.012188035485672457,0.0075603148744005436,0.006178576616017035
984,-89.2633333333333,-99.4185714285714,-89.2142857142857,-103.375833333333,-101.66,-95.78,-78.3476666666667,-81.3505714285714,-91.1608333333333,5.0,5.0,0.0,-8.05429,-34.95671,False,0.011846560682326335,0.012119135447716428,0.0015738487856216932
985,-100.83,-115.0,-98.56,-115.0,-98.35,-97.5942857142857,-99.255,-94.11,-115.0,5.0,3.0,3.0,-8.055833999999999,-34.951362,True,0.012430383743070294,0.007309120056482707,0.006558173526217989
990,-76.7414285714286,-86.23357142857141,-68.63,-86.95,-89.58,-87.55142857142859,-92.765,-99.226,-96.7675,2.0,4.0,3.0,-8.048860000000001,-34.95298,False,0.0055275672768422685,0.009233837988614465,0.008120221671853514
993,-100.83,-115.0,-98.56,-115.0,-94.7966666666667,-97.64857142857142,-99.255,-95.635,-115.0,5.0,3.0,3.0,-8.055833999999999,-34.951362,True,0.012430383743070294,0.007309120056482707,0.006558173526217989
994,-98.748,-106.79,-98.61,-95.85,-88.33,-90.82,-100.03,-95.91,-115.0,5.0,3.0,3.0,-8.055494,-34.951316,True,0.012093359004015508,0.007136073990649065,0.006586298808894758
999,-71.83,-87.99857142857141,-79.08,-91.8083333333333,-91.47,-90.76142857142858,-84.2116666666667,-104.266,-97.22,1.0,5.0,4.0,-8.04648,-34.953720000000004,False,0.003510270644840504,0.011088480689441349,0.009778445684257361
1000,-87.19142857142859,-89.3,-89.5042857142857,-69.54,-81.4825,-75.17,-87.3266666666667,-92.514,-97.255,4.0,1.0,4.0,-8.05227,-34.94828,False,0.009600046874886692,0.0036608829536053634,0.010091922512589054
1001,-98.748,-99.67,-98.61,-97.49,-84.83,-86.66714285714279,-100.03,-95.755,-115.0,5.0,3.0,3.0,-8.055494,-34.951316,True,0.012093359004015508,0.007136073990649065,0.006586298808894758
