,rssi_1_1,rssi_1_2,rssi_1_3,rssi_2_1,rssi_2_2,rssi_2_3,rssi_3_1,rssi_3_2,rssi_3_3,delay_1,delay_2,delay_3,lat,lon,indoor,bts_1_dist,bts_2_dist,bts_3_dist
0,-103.705,-110.425,-107.381666666667,-110.33,-108.345,-106.59,-107.153333333333,-102.12,-115.0,5.0,3.0,2.0,-8.055786,-34.951505,True,0.012375903239764088,0.00742136813532404,0.006411956097795822
1,-105.225,-115.0,-105.21,-115.0,-105.835,-115.0,-88.47,-94.0242857142857,-108.12,5.0,3.0,2.0,-8.055784,-34.951608,True,0.012370212609328666,0.0075155393685377644,0.006309085512181927
2,-102.61,-115.0,-101.38,-115.0,-104.295,-97.36,-96.98,-99.5725,-115.0,5.0,3.0,2.0,-8.055506,-34.951693,True,0.012089898469383464,0.007492522739373084,0.006209786228208023
3,-89.14,-97.2514285714286,-86.6428571428571,-96.0366666666667,-96.5925,-92.46,-86.8133333333333,-102.688,-87.27,4.0,7.0,2.0,-8.05039,-34.95963,False,0.01033430210512518,0.015165479352793249,0.005224729658076212
4,-109.088333333333,-107.2,-107.01,-108.43,-104.845714285714,-101.435714285714,-103.065,-102.11,-115.0,5.0,3.0,2.0,-8.05538,-34.951736,True,0.011962913357539847,0.0074900064085416974,0.00616429201125858
5,-91.53,-99.1157142857143,-89.4242857142857,-96.235,-92.8375,-93.3271428571428,-82.3633333333333,-81.94,-79.34,6.0,5.0,0.0,-8.05578,-34.95639,False,0.013116466749854264,0.012069118609080307,0.0015785119575125425
6,-80.2464285714286,-98.0107142857143,-81.3666666666667,-99.55,-97.245,-93.06714285714293,-71.0,-99.9346666666667,-95.8475,3.0,4.0,3.0,-8.049710000000001,-34.954640000000005,False,0.006821561404843924,0.01046295484077733,0.00648842816096254
7,-98.748,-99.67,-98.61,-97.86,-92.8375,-90.7471428571428,-100.03,-95.25,-115.0,5.0,3.0,3.0,-8.055494,-34.951316,True,0.012093359004015508,0.007136073990649065,0.006586298808894758
8,-115.0,-115.0,-115.0,-115.0,-96.33,-92.66833333333332,-88.89,-78.2614285714286,-115.0,5.0,3.0,3.0,-8.055684,-34.951331,True,0.01228223338810961,0.007221406857398423,0.006579077214928061
9,-100.83,-115.0,-98.56,-115.0,-100.406666666667,-97.84571428571432,-99.255,-104.94,-115.0,5.0,3.0,3.0,-8.055833999999999,-34.951362,True,0.012430383743070294,0.007309120056482707,0.006558173526217989
10,-91.32285714285707,-99.2842857142857,-91.76428571428568,-102.91,-92.8475,-95.2528571428571,-87.3566666666667,-74.904,-87.35,6.0,6.0,0.0,-8.05625,-34.95713,False,0.013817590238534289,0.012903153258024257,0.001207393887679138
11,-84.6314285714286,-99.6357142857143,-86.47714285714291,-95.72,-100.225,-88.2328571428571,-78.955,-89.444,-61.08,6.0,6.0,0.0,-8.05402,-34.95955,False,0.013013934839241853,0.01492085064599504,0.0021005951537586987
12,-81.58,-98.7371428571429,-87.9,-96.4316666666667,-95.3975,-93.6828571428572,-85.2283333333333,-75.2824,-95.16,5.0,5.0,0.0,-8.0552,-34.95624,False,0.012519824279917924,0.011796386056758701,0.0016643316977104827
13,-115.0,-115.0,-115.0,-115.0,-96.33,-92.8566666666667,-82.41,-78.2614285714286,-115.0,5.0,3.0,3.0,-8.055684,-34.951331,True,0.01228223338810961,0.007221406857398423,0.006579077214928061
